lon,lat,unique_vessels,total_hours
75.05,-67.85,1,1.5991666666666666
75.05,-41.95,1,0
75.05,-36.849999999999994,1,1.1913888888888888
75.05,-36.25,1,0
75.05,-36.05,1,1.1111111111111112
75.05,-35.849999999999994,1,0
75.05,-35.45,1,1.1572222222222222
75.05,-33.25,1,0
75.05,-32.75,1,1.0002777777777778
75.05,-32.650000000000006,1,1.245
75.05,-32.45,1,1.1975
75.05,-32.25,1,0
75.05,-32.150000000000006,1,1.3280555555555555
75.05,-31.95,1,1.0972222222222223
75.05,-31.85,2,1.0191666666666668
75.05,-31.75,2,1.1533333333333333
75.05,-31.65,1,1.0225
75.05,-31.55,1,1.0438888888888889
75.05,-31.45,1,0
75.05,-31.15,1,0
75.05,-31.05,1,1.0252777777777777
75.05,-30.95,1,0
75.05,-30.85,1,0
75.05,-30.25,2,2.288333333333333
75.05,-30.05,2,1.0691666666666666
75.05,-29.95,15,12.709166666666665
75.05,-29.85,1,1.3275
75.05,-29.75,5,6.206944444444444
75.05,-29.65,1,1.0358333333333334
75.05,-29.55,2,1.1694444444444445
75.05,-29.45,1,0
75.05,-29.05,1,1.1033333333333333
75.05,-28.95,2,2.511388888888889
75.05,-28.75,2,2.188888888888889
75.05,-28.35,1,0
75.05,-28.05,1,1.1033333333333333
75.05,-27.95,1,1.3191666666666666
75.05,-27.85,1,1.1602777777777777
75.05,-27.75,3,2.1391666666666667
75.05,-27.65,1,0
75.05,-27.35,2,2.383611111111111
75.05,-27.15,3,2.1225
75.05,-26.95,2,2.367222222222222
75.05,-26.85,1,1.0777777777777777
75.05,-26.55,2,2.256388888888889
75.05,-26.35,1,0
75.05,-26.25,2,2.189166666666667
75.05,-26.05,1,1.1197222222222223
75.05,-25.95,3,2.4561111111111114
75.05,-25.55,1,1.1891666666666667
75.05,-25.15,2,2.24
75.05,-25.05,1,1.2058333333333333
75.05,-24.75,1,1.03
75.05,-24.55,2,2.1494444444444447
75.05,-24.45,1,1.011111111111111
75.05,-24.15,2,2.4302777777777775
75.05,-24.05,6,3.3175
75.05,-23.95,6,4.330277777777778
75.05,-23.85,5,4.777222222222221
75.05,-23.75,7,5.666111111111111
75.05,-23.65,1,1.2105555555555556
75.05,-23.55,2,2.2330555555555556
75.05,-23.45,3,1.3447222222222222
75.05,-23.35,7,4.4622222222222225
75.05,-23.25,7,4.2602777777777785
75.05,-23.15,5,4.688611111111111
75.05,-23.05,5,5.708055555555555
75.05,-22.95,4,1.0222222222222221
75.05,-22.85,1,1.08
75.05,-22.75,3,3.1661111111111113
75.05,-22.65,1,0
75.05,-22.55,1,1.1083333333333334
75.05,-22.45,2,0
75.05,-22.35,2,1.1
75.05,-22.15,1,0
75.05,-22.05,2,2.2027777777777775
75.05,-21.75,1,1.2022222222222223
75.05,-20.75,1,1.1555555555555554
75.05,-20.65,3,1.188611111111111
75.05,-20.55,1,1.1475
75.05,-20.25,2,1.0363888888888888
75.05,-20.15,1,1.0586111111111112
75.05,-20.05,1,1.136111111111111
75.05,-19.55,1,1.0691666666666666
75.05,-19.05,2,1.6205555555555555
75.05,-18.95,1,1.0305555555555554
75.05,-18.35,2,2.4741666666666666
75.05,-17.85,2,1.6083333333333334
75.05,-17.75,2,1.0469444444444445
75.05,-17.65,1,0
75.05,-17.55,3,1.3913888888888888
75.05,-17.45,1,0
75.05,-16.95,1,0
75.05,-16.75,1,0
75.05,-16.65,1,1.1416666666666666
75.05,-16.45,3,2.1863888888888887
75.05,-16.35,1,0
75.05,-16.05,2,1.025
75.05,-15.55,1,1.3419444444444444
75.05,-15.149999999999999,1,0
75.05,-15.05,1,0
