lon,lat,unique_vessels,total_hours
75.05,-66.85,1,1.0030555555555556
75.05,-59.95,1,1.5158333333333334
75.05,-59.75,1,1.5758333333333334
75.05,-59.45,1,0
75.05,-59.150000000000006,1,0
75.05,-58.75,1,1.0058333333333334
75.05,-58.650000000000006,1,1.0225
75.05,-58.45,1,1.216388888888889
75.05,-58.25,1,0
75.05,-51.849999999999994,1,1.0663888888888888
75.05,-48.55,1,0
75.05,-41.150000000000006,1,1.341388888888889
75.05,-40.95,1,1.1
75.05,-40.650000000000006,1,1.1225
75.05,-38.05,1,1.3197222222222222
75.05,-36.95,1,1.0002777777777778
75.05,-36.75,2,0
75.05,-36.45,2,0
75.05,-36.05,1,1.1141666666666667
75.05,-35.849999999999994,1,0
75.05,-35.650000000000006,2,2.352777777777778
75.05,-35.349999999999994,3,0
75.05,-35.150000000000006,1,0
75.05,-34.55,1,0
75.05,-34.45,2,0
75.05,-33.849999999999994,1,0
75.05,-33.349999999999994,2,1.0419444444444443
75.05,-33.150000000000006,1,0
75.05,-32.95,1,1.0052777777777777
75.05,-32.849999999999994,2,1.0027777777777778
75.05,-32.650000000000006,1,0
75.05,-32.55,1,1.7494444444444444
75.05,-32.45,1,1.0852777777777778
75.05,-32.25,2,2.7666666666666666
75.05,-32.150000000000006,1,1.083888888888889
75.05,-32.05,2,2.4555555555555557
75.05,-31.95,1,1.4725
75.05,-31.65,1,1.0061111111111112
75.05,-31.45,2,1.3533333333333333
75.05,-31.25,2,1.1694444444444445
75.05,-31.05,1,1.8333333333333333
75.05,-30.95,2,0
75.05,-30.45,2,1.183888888888889
75.05,-30.35,1,1.1166666666666667
75.05,-30.25,1,0
75.05,-30.05,1,0
75.05,-29.95,5,3.6869444444444444
75.05,-29.85,1,0
75.05,-29.75,1,0
75.05,-29.65,1,0
75.05,-29.55,1,1.0725
75.05,-29.45,2,0
75.05,-29.25,4,1.0352777777777777
75.05,-28.85,3,3.2847222222222223
75.05,-28.65,1,1.386388888888889
75.05,-28.45,2,1.2444444444444445
75.05,-28.15,5,1.0080555555555555
75.05,-27.95,1,0
75.05,-27.75,1,1.6458333333333333
75.05,-27.45,1,1.8166666666666667
75.05,-27.35,1,1.1188888888888888
75.05,-27.15,1,0
75.05,-27.05,2,1.258888888888889
75.05,-26.95,1,1.3358333333333334
75.05,-26.85,2,2.525
75.05,-26.45,1,1.1391666666666667
75.05,-26.35,1,1.0052777777777777
75.05,-26.25,2,1.1719444444444445
75.05,-26.15,1,0
75.05,-25.55,1,1.1188888888888888
75.05,-25.35,1,1.0219444444444445
75.05,-25.05,1,0
75.05,-24.85,2,2.648888888888889
75.05,-24.65,2,0
75.05,-24.55,1,1.1491666666666667
75.05,-24.45,1,0
75.05,-24.35,1,0
75.05,-24.25,1,0
75.05,-24.15,1,0
75.05,-23.95,1,1.5252777777777777
75.05,-23.85,2,1.356111111111111
75.05,-23.75,2,1.4519444444444445
75.05,-23.65,4,2.241944444444444
75.05,-23.55,1,0
75.05,-23.45,3,2.3025
75.05,-23.35,3,0
75.05,-23.25,4,1.0205555555555557
75.05,-23.15,4,3.638611111111111
75.05,-23.05,2,1.3497222222222223
75.05,-22.95,2,1.236388888888889
75.05,-22.75,1,1.1002777777777777
75.05,-22.65,1,1.3611111111111112
75.05,-22.55,2,1.6605555555555556
75.05,-22.25,1,0
75.05,-22.15,1,1.413888888888889
75.05,-22.05,1,1.113888888888889
75.05,-21.55,2,1.2644444444444445
75.05,-21.25,2,1.0233333333333334
75.05,-21.15,3,3.717777777777778
75.05,-20.85,1,0
75.05,-20.75,1,1.7727777777777778
75.05,-20.65,1,1.0941666666666667
75.05,-20.55,1,0
75.05,-20.35,1,0
75.05,-20.25,3,2.8269444444444445
75.05,-20.05,1,0
75.05,-19.75,1,1.3333333333333333
75.05,-19.65,1,0
75.05,-19.35,2,1.7744444444444445
75.05,-19.25,1,0
75.05,-19.15,1,1.2027777777777777
75.05,-18.95,1,1.0583333333333333
75.05,-18.85,1,1.1111111111111112
75.05,-18.55,2,1.1836111111111112
75.05,-18.45,1,1.0166666666666666
75.05,-18.15,1,0
75.05,-18.05,3,2.330277777777778
75.05,-17.85,3,2.4494444444444445
75.05,-17.75,6,1.2666666666666666
75.05,-17.65,3,0
75.05,-17.55,2,0
75.05,-17.45,1,0
75.05,-17.35,1,1.2444444444444445
75.05,-17.25,1,0
