lon,lat,unique_vessels,total_hours
75.05,-52.05,1,0
75.05,-51.25,1,0
75.05,-38.05,1,1.1416666666666666
75.05,-37.150000000000006,1,1.0402777777777779
75.05,-37.05,1,0
75.05,-36.849999999999994,1,1.1533333333333333
75.05,-36.55,1,0
75.05,-36.349999999999994,1,1.0366666666666666
75.05,-35.349999999999994,1,0
75.05,-35.05,1,0
75.05,-34.75,1,0
75.05,-34.55,2,0
75.05,-34.45,2,0
75.05,-34.349999999999994,1,0
75.05,-33.75,1,0
75.05,-32.75,1,0
75.05,-32.55,1,0
75.05,-32.349999999999994,1,0
75.05,-32.25,2,2.719444444444444
75.05,-32.150000000000006,1,1.1608333333333334
75.05,-32.05,1,0
75.05,-31.95,1,0
75.05,-31.65,2,1.2133333333333334
75.05,-31.55,1,0
75.05,-31.45,1,1.0277777777777777
75.05,-31.25,1,0
75.05,-31.15,2,1.113888888888889
75.05,-31.05,1,1.2197222222222222
75.05,-30.95,2,0
75.05,-30.75,1,0
75.05,-30.65,1,0
75.05,-30.55,1,1.2666666666666666
75.05,-30.15,1,1.0697222222222222
75.05,-30.05,2,0
75.05,-29.95,5,3.441666666666667
75.05,-29.85,1,0
75.05,-29.75,1,0
75.05,-29.65,3,1.0894444444444444
75.05,-29.55,2,2.088888888888889
75.05,-29.45,2,2.3613888888888885
75.05,-29.35,2,2.3338888888888887
75.05,-29.25,1,1.4358333333333333
75.05,-29.05,1,0
75.05,-28.95,1,1.0330555555555556
75.05,-28.85,2,2.2366666666666664
75.05,-28.75,3,2.145277777777778
75.05,-28.65,3,3.6911111111111112
75.05,-28.55,1,1.0216666666666667
75.05,-28.45,1,1.0058333333333334
75.05,-28.35,1,0
75.05,-28.25,3,3.526944444444444
75.05,-28.15,1,1.1502777777777777
75.05,-27.85,2,2.182777777777778
75.05,-27.75,2,1.038888888888889
75.05,-27.65,2,1.0916666666666666
75.05,-27.55,1,1.0391666666666666
75.05,-27.45,1,1.055
75.05,-27.25,4,2.2472222222222222
75.05,-27.15,1,1.023611111111111
75.05,-26.65,1,1.0255555555555556
75.05,-26.45,3,3.443888888888889
75.05,-26.35,3,3.5225
75.05,-26.15,1,0
75.05,-26.05,1,1.158611111111111
75.05,-25.95,1,1.1302777777777777
75.05,-25.85,1,0
75.05,-25.65,1,1.0475
75.05,-25.45,1,1.0808333333333333
75.05,-25.25,1,1.1497222222222223
75.05,-24.85,2,2.3655555555555554
75.05,-24.75,1,0
75.05,-24.55,1,0
75.05,-24.45,2,1.5366666666666666
75.05,-24.35,2,2.25
75.05,-24.25,3,2.4366666666666665
75.05,-24.15,1,0
75.05,-24.05,6,8.564444444444444
75.05,-23.95,3,2.2275
75.05,-23.85,1,0
75.05,-23.75,4,2.683611111111111
75.05,-23.65,5,1.0683333333333334
75.05,-23.55,4,2.269722222222222
75.05,-23.45,7,7.464166666666667
75.05,-23.35,11,9.164166666666667
75.05,-23.25,10,8.355277777777777
75.05,-23.15,7,4.663611111111111
75.05,-23.05,6,2.144722222222222
75.05,-22.95,7,5.938055555555556
75.05,-22.85,5,2.283333333333333
75.05,-22.75,2,1.1944444444444444
75.05,-22.65,4,3.2716666666666665
75.05,-22.35,2,1.2275
75.05,-22.25,1,1.1019444444444444
75.05,-22.05,2,1.0647222222222221
75.05,-21.95,1,0
75.05,-21.75,3,2.602777777777778
75.05,-21.55,2,2.3361111111111112
75.05,-21.45,4,3.2666666666666666
75.05,-21.35,2,2.3169444444444443
75.05,-21.25,2,2.539722222222222
75.05,-21.05,1,1.2277777777777779
75.05,-20.85,2,0
75.05,-20.55,1,1.0833333333333333
75.05,-20.25,2,2.4722222222222223
75.05,-20.05,2,0
75.05,-19.95,3,2.428888888888889
75.05,-19.75,1,0
75.05,-19.65,1,0
75.05,-19.35,1,1.4777777777777779
75.05,-19.25,1,0
75.05,-19.05,2,1.4302777777777778
