lon,lat,unique_vessels,total_hours
75.05,-34.75,1,1.0269444444444444
75.05,-32.95,1,0
75.05,-32.45,1,0
75.05,-31.95,2,0
75.05,-31.85,1,1.4444444444444444
75.05,-31.65,1,1.5502777777777779
75.05,-31.25,1,1.1502777777777777
75.05,-31.15,2,0
75.05,-31.05,1,0
75.05,-30.95,1,0
75.05,-30.45,1,1.1688888888888889
75.05,-30.05,1,0
75.05,-29.95,2,1.15
75.05,-29.85,1,1.0277777777777777
75.05,-29.55,2,0
75.05,-29.35,1,0
75.05,-28.95,1,1.1005555555555555
75.05,-28.85,2,2.2919444444444443
75.05,-28.65,3,2.366388888888889
75.05,-28.55,2,2.458611111111111
75.05,-28.05,1,0
75.05,-27.95,3,3.440277777777778
75.05,-27.85,1,0
75.05,-27.75,1,1.0061111111111112
75.05,-27.65,4,0
75.05,-27.45,1,0
75.05,-27.15,1,1.1861111111111111
75.05,-26.85,3,3.668055555555555
75.05,-26.75,1,1.0358333333333334
75.05,-26.45,1,1.166111111111111
75.05,-26.15,1,1.0275
75.05,-25.95,1,1.1777777777777778
75.05,-25.85,2,0
75.05,-25.75,1,1.2447222222222223
75.05,-25.55,1,1.1605555555555556
75.05,-25.45,1,1.0530555555555556
75.05,-25.35,1,0
75.05,-25.15,1,0
75.05,-24.75,2,3.2969444444444442
75.05,-24.65,2,2.3216666666666663
75.05,-24.55,3,4.560555555555555
75.05,-24.45,1,1.0308333333333333
75.05,-24.35,1,1.5244444444444445
75.05,-24.25,2,1.3716666666666666
75.05,-24.15,1,1.2247222222222223
75.05,-24.05,1,1.1280555555555556
75.05,-23.95,1,0
75.05,-23.85,3,2.383888888888889
75.05,-23.75,3,3.3025
75.05,-23.65,2,2.5058333333333334
75.05,-23.55,1,1.1858333333333333
75.05,-23.35,1,1.2472222222222222
75.05,-23.25,5,4.736388888888889
75.05,-23.15,3,3.2636111111111115
75.05,-23.05,4,3.573888888888889
75.05,-22.95,6,2.0580555555555557
75.05,-22.85,2,1.0191666666666668
75.05,-22.75,2,0
75.05,-22.65,1,1.1694444444444445
75.05,-22.55,1,1.1308333333333334
75.05,-22.45,1,1.3333333333333333
75.05,-22.35,1,1.1283333333333334
75.05,-22.25,1,0
75.05,-22.15,3,3.3408333333333333
75.05,-22.05,1,1.3694444444444445
75.05,-21.65,1,1.1608333333333334
75.05,-21.55,3,2.105277777777778
75.05,-21.45,1,0
75.05,-21.35,1,1.1747222222222222
75.05,-21.15,1,1.1777777777777778
75.05,-20.95,4,3.530555555555556
75.05,-20.85,1,1.0611111111111111
75.05,-20.75,1,1.1169444444444445
75.05,-20.65,1,1.2077777777777778
75.05,-20.55,2,1.2830555555555556
75.05,-20.45,1,0
75.05,-20.15,2,2.113888888888889
75.05,-20.05,2,2.839722222222222
75.05,-19.95,1,1.4025
75.05,-19.65,2,2.6352777777777776
75.05,-19.55,1,1.3386111111111112
75.05,-19.35,3,3.55
75.05,-19.25,1,0
75.05,-19.15,1,1.2422222222222221
75.05,-19.05,1,1.125
75.05,-18.55,1,0
75.05,-18.35,1,1.1255555555555556
75.05,-18.25,1,1.0308333333333333
75.05,-18.15,1,1.4008333333333334
75.05,-18.05,2,2.7580555555555555
75.05,-17.95,2,2.7644444444444445
75.05,-17.85,1,0
75.05,-17.65,1,0
75.05,-17.55,3,1.2875
