lon,lat,unique_vessels,total_hours
75.05,-47.05,1,0
75.05,-44.75,1,0
75.05,-35.55,1,0
75.05,-34.45,1,0
75.05,-33.95,1,1.1977777777777778
75.05,-32.95,1,0
75.05,-32.45,1,0
75.05,-31.65,1,1.1002777777777777
75.05,-31.05,2,1.0247222222222223
75.05,-30.55,1,0
75.05,-30.35,1,1.0711111111111111
75.05,-29.95,2,2.236111111111111
75.05,-29.85,2,2.355277777777778
75.05,-29.65,2,2.25
75.05,-29.45,1,0
75.05,-29.35,1,1.0027777777777778
75.05,-29.05,1,0
75.05,-28.85,1,1.2083333333333333
75.05,-28.65,2,2.3197222222222225
75.05,-28.55,1,1.1311111111111112
75.05,-27.95,2,2.1077777777777778
75.05,-27.85,1,1.0475
75.05,-27.75,2,0
75.05,-27.65,1,0
75.05,-27.15,1,1.1722222222222223
75.05,-26.85,1,0
75.05,-26.65,1,0
75.05,-26.45,1,1.163888888888889
75.05,-25.85,2,1.166388888888889
75.05,-25.75,2,2.2525
75.05,-25.65,1,0
75.05,-25.55,1,1.2141666666666666
75.05,-25.25,2,2.3583333333333334
75.05,-24.95,2,1.0252777777777777
75.05,-24.85,1,0
75.05,-24.55,1,1.0716666666666668
75.05,-24.45,1,1.0197222222222222
75.05,-24.35,1,1.0497222222222222
75.05,-24.25,1,1.3305555555555555
75.05,-24.15,1,0
75.05,-24.05,4,3.4519444444444445
75.05,-23.95,1,1.3216666666666668
75.05,-23.75,2,2.3247222222222224
75.05,-23.65,4,3.608611111111111
75.05,-23.55,1,1.1030555555555555
75.05,-23.45,1,1.1530555555555555
75.05,-23.35,6,4.695277777777777
75.05,-23.25,7,8.208055555555555
75.05,-23.15,7,5.958611111111112
75.05,-23.05,4,3.4319444444444445
75.05,-22.95,6,5.904722222222222
75.05,-22.85,2,2.916666666666667
75.05,-22.75,3,2.266388888888889
75.05,-22.55,4,3.2216666666666667
75.05,-22.45,5,5.816944444444444
75.05,-22.35,2,2.4194444444444443
75.05,-22.25,2,2.375277777777778
75.05,-22.15,1,1.0108333333333333
75.05,-22.05,1,0
75.05,-21.85,1,1.073611111111111
75.05,-21.75,1,1.1388888888888888
75.05,-21.45,3,2.2827777777777776
75.05,-21.35,1,1.2038888888888888
75.05,-20.95,4,2.3166666666666664
75.05,-20.85,1,1.136111111111111
75.05,-20.75,1,1.3719444444444444
75.05,-20.65,1,1.0538888888888889
75.05,-20.45,2,2.231111111111111
75.05,-20.15,2,1.301111111111111
75.05,-19.95,2,1.1580555555555556
75.05,-19.85,1,1.3055555555555556
75.05,-19.65,2,1.2580555555555555
75.05,-19.45,1,0
75.05,-18.85,1,1.1530555555555555
75.05,-18.55,1,1.1388888888888888
75.05,-18.35,1,1.0308333333333333
75.05,-18.25,1,0
75.05,-18.15,1,0
75.05,-17.95,2,0
75.05,-17.85,2,2.0947222222222224
75.05,-17.75,2,2.2055555555555557
75.05,-17.65,5,2.394444444444445
75.05,-17.55,2,1.093888888888889
75.05,-17.45,1,1.0608333333333333
75.05,-17.15,1,1.2194444444444446
75.05,-17.05,1,1.0222222222222221
75.05,-16.95,1,1.091388888888889
75.05,-16.75,1,1.1583333333333334
75.05,-16.65,1,1.1944444444444444
75.05,-16.55,1,1.1555555555555554
75.05,-16.45,3,1.0805555555555555
75.05,-16.25,1,0
75.05,-16.15,3,2.3499999999999996
75.05,-15.75,1,1.1194444444444445
75.05,-15.649999999999999,1,1.4330555555555555
75.05,-15.350000000000001,2,1.0472222222222223
75.05,-15.149999999999999,1,1.195
75.05,-14.95,2,1.211111111111111
75.05,-14.850000000000001,1,0
75.05,-13.75,1,1.0386111111111112
75.05,-13.55,1,0
75.05,-13.350000000000001,1,1.625
75.05,-13.25,2,0
75.05,-13.149999999999999,3,0
75.05,-13.05,1,0
75.05,-12.95,2,2.1980555555555554
75.05,-12.850000000000001,3,1.0966666666666667
75.05,-12.75,2,2.7969444444444447
75.05,-12.649999999999999,1,0
75.05,-12.55,5,2.2008333333333336
75.05,-12.45,4,2.3002777777777776
75.05,-12.350000000000001,2,2.394722222222222
75.05,-12.25,4,4.486111111111112
75.05,-12.149999999999999,8,6.1775
75.05,-12.05,8,4.596388888888889
75.05,-11.95,4,3.2730555555555556
75.05,-11.850000000000001,7,4.447222222222223
75.05,-11.75,10,3.517777777777778
75.05,-11.649999999999999,18,12.629166666666668
75.05,-11.55,8,2.677777777777778
75.05,-11.45,7,3.723333333333333
75.05,-11.350000000000001,6,3.488888888888889
75.05,-11.25,3,3.1930555555555555
75.05,-11.149999999999999,1,0
75.05,-11.05,2,2.358611111111111
75.05,-10.95,5,0
75.05,-10.75,5,5.660555555555556
75.05,-10.649999999999999,5,4.819166666666666
75.05,-10.55,3,1.3038888888888889
