lon,lat,unique_vessels,total_hours
75.05,-33.650000000000006,1,1.1522222222222223
75.05,-33.55,2,2.788611111111111
75.05,-32.849999999999994,1,1.1002777777777777
75.05,-31.85,1,1.1283333333333334
75.05,-31.75,1,5.279166666666667
75.05,-31.65,1,1.3430555555555554
75.05,-31.35,1,1.1275
75.05,-31.25,1,0
75.05,-31.15,1,4.129166666666666
75.05,-31.05,1,1.0247222222222223
75.05,-30.95,2,1.2
75.05,-30.65,1,1.0225
75.05,-30.15,1,1.035
75.05,-29.95,2,2.7
75.05,-29.85,1,0
75.05,-29.65,1,0
75.05,-29.45,1,1.1225
75.05,-29.35,1,1.0225
75.05,-29.25,1,0
75.05,-28.95,1,1.1944444444444444
75.05,-28.75,1,1.075
75.05,-28.65,4,3.358888888888889
75.05,-28.55,1,1.075
75.05,-28.45,1,0
75.05,-28.35,1,0
75.05,-28.25,2,1.0977777777777777
75.05,-28.15,2,2.5152777777777775
75.05,-28.05,3,1.05
75.05,-27.85,1,1.8525
75.05,-27.75,1,1.2197222222222222
75.05,-27.55,2,3.6277777777777778
75.05,-27.45,4,5.669444444444444
75.05,-27.35,2,2.1213888888888888
75.05,-27.25,2,2.4266666666666667
75.05,-27.15,1,1.4672222222222222
75.05,-27.05,2,2.769722222222222
75.05,-26.65,2,2.3519444444444444
75.05,-26.55,1,1.261111111111111
75.05,-26.45,1,1.0711111111111111
75.05,-26.15,2,2.2755555555555556
75.05,-26.05,1,0
75.05,-25.95,2,3.43
75.05,-25.85,2,1.1608333333333334
75.05,-25.75,3,1.1358333333333333
75.05,-25.65,1,1.1502777777777777
75.05,-25.55,2,0
75.05,-25.05,4,2.394166666666667
75.05,-24.95,4,2.605833333333333
75.05,-24.85,2,2.0725
75.05,-24.75,2,2.4391666666666665
75.05,-24.65,1,1.1219444444444444
75.05,-24.55,2,0
75.05,-24.45,2,2.2394444444444446
75.05,-24.35,1,1.0086111111111111
75.05,-24.25,2,2.3613888888888885
75.05,-24.15,1,1.0444444444444445
75.05,-24.05,3,3.575
75.05,-23.95,1,1.3138888888888889
75.05,-23.85,2,2.2408333333333332
75.05,-23.75,3,3.1847222222222227
75.05,-23.65,2,1.011388888888889
75.05,-23.55,3,2.5416666666666665
75.05,-23.45,5,4.725555555555556
75.05,-23.35,2,2.341388888888889
75.05,-23.25,1,1.0505555555555555
75.05,-23.15,3,2.283333333333333
75.05,-23.05,4,2.131388888888889
75.05,-22.95,5,3.4802777777777774
75.05,-22.85,1,1.0611111111111111
75.05,-22.75,1,0
75.05,-22.65,1,1.2555555555555555
75.05,-22.55,2,1.1636111111111112
75.05,-22.35,3,2.177777777777778
75.05,-22.15,1,0
75.05,-22.05,1,1.0116666666666667
75.05,-21.95,1,1.2055555555555555
75.05,-21.85,2,0
75.05,-21.75,2,2.269722222222222
75.05,-21.65,1,1.1666666666666667
75.05,-21.55,1,0
75.05,-21.45,1,1.2219444444444445
75.05,-21.35,1,1.1688888888888889
75.05,-21.15,5,4.488611111111111
75.05,-21.05,3,1.0583333333333333
75.05,-20.95,4,6.544166666666667
75.05,-20.85,2,2.1963888888888885
75.05,-20.75,2,4.946111111111112
75.05,-20.65,3,2.450277777777778
75.05,-20.55,1,1.356111111111111
75.05,-20.45,2,6.821111111111111
75.05,-20.35,6,5.681111111111111
75.05,-20.25,4,3.8663888888888884
75.05,-20.15,7,8.365277777777777
75.05,-20.05,2,3.5013888888888887
75.05,-19.95,3,1.0377777777777777
75.05,-19.85,2,2.235
75.05,-19.75,3,1.3586111111111112
75.05,-19.65,3,1.0533333333333332
75.05,-19.55,2,4.4175
75.05,-19.45,1,1.2477777777777779
75.05,-19.35,2,1.2866666666666666
75.05,-19.25,2,1.1780555555555556
